0 : -nan, -nan, -nan 
1 : 261.630554, 249.134430, 13.967118 
2 : 252.818832, 303.227173, 14.071172 
3 : 234.712418, 221.491730, 14.583448 
4 : 221.819748, 247.408585, 14.607725 
5 : 246.878220, 276.344696, 14.978328 
6 : 220.961639, 286.240814, 14.701224 
7 : 267.481567, 219.901428, 16.173063 
8 : 224.543533, 196.297684, 18.431593 
9 : 183.537704, 267.174286, 16.781212 
10 : 283.597595, 284.551941, 17.343664 
11 : 194.789688, 299.265869, 19.267460 
12 : 196.571747, 227.539536, 18.795021 
13 : 177.883102, 253.823059, 19.036335 
14 : 179.000000, 262.000000, 16.000000 
15 : 230.977005, 323.192841, 18.844189 
16 : 273.000000, 329.944031, 22.972486 
17 : 252.968597, 188.803513, 19.558802 
18 : 293.162994, 222.216644, 20.050207 
19 : 281.845398, 187.320770, 22.275362 
20 : 300.032043, 295.999420, 24.153618 
21 : 198.213104, 197.734024, 22.424625 
22 : 174.997589, 226.840149, 25.022837 
23 : 295.153931, 258.834076, 24.900656 
24 : 239.059769, 176.645401, 25.676899 
25 : 191.261353, 336.761536, 34.166256 
26 : 308.996399, 212.576782, 27.347513 
27 : 152.403427, 261.444916, 27.230330 
28 : 156.527359, 279.023224, 27.253731 
29 : 227.451431, 342.195129, 29.321608 
30 : 248.875000, 341.146729, 25.315218 
31 : 302.394287, 181.319717, 30.316650 
32 : 181.005524, 194.123627, 28.995584 
33 : 172.083542, 308.991882, 27.864557 
34 : 213.467209, 177.344940, 30.291498 
35 : 317.655640, 241.084564, 30.330883 
36 : 207.856781, 347.177826, 37.171207 
37 : 272.791931, 165.714371, 35.330421 
38 : 158.894913, 213.144913, 32.359203 
39 : 305.046112, 324.211731, 30.813417 
40 : 250.919662, 349.481995, 31.462605 
41 : 147.506912, 234.633850, 44.150635 
42 : 316.784851, 283.354553, 32.045456 
43 : 236.332870, 355.531097, 37.838005 
44 : 329.861237, 269.583679, 33.730614 
45 : 239.215668, 161.700928, 38.479511 
46 : 134.400925, 285.177277, 35.836617 
47 : 330.099426, 197.611633, 35.136959 
48 : 147.854553, 313.525452, 44.149693 
49 : 302.798523, 340.471344, 41.256008 
50 : 192.286102, 174.814346, 38.459194 
51 : 165.456848, 196.235794, 37.878948 
52 : 131.915619, 266.037506, 37.734375 
53 : 163.887604, 328.637604, 36.223839 
54 : 275.847107, 348.455536, 37.257412 
55 : 285.000000, 347.000000, 34.000000 
56 : 323.781677, 180.560654, 37.431267 
57 : 339.579834, 248.899200, 37.679501 
58 : 262.247742, 341.740173, 38.063442 
59 : 318.820587, 308.182068, 38.415565 
60 : 225.694199, 347.947968, 47.239269 
61 : 254.719131, 357.891968, 38.302467 
62 : 344.147461, 282.451752, 40.821716 
63 : 342.919708, 226.737228, 41.284672 
64 : 284.000000, 350.000000, 41.000000 
65 : 341.788544, 294.691620, 44.015419 
66 : 222.994019, 163.025406, 45.073242 
67 : 176.110855, 170.445755, 46.457546 
68 : 337.173340, 187.328003, 45.175999 
69 : 305.173065, 159.956726, 45.725960 
70 : 346.216827, 203.699112, 46.216816 
71 : 144.000000, 314.333344, 43.333332 
72 : 318.643402, 168.790695, 45.651161 
73 : 161.398193, 183.724319, 47.445045 
74 : 132.516068, 282.891724, 48.275803 
75 : 160.925919, 328.539886, 47.002850 
76 : 274.875000, 344.750000, 45.625000 
77 : 160.924454, 209.915115, 50.562305 
78 : 352.734406, 243.888000, 48.716801 
79 : 194.734238, 352.509003, 47.468468 
80 : 211.422104, 166.175720, 49.661232 
81 : 136.426590, 263.708130, 49.364422 
82 : 255.092850, 162.994644, 49.799999 
83 : 351.220154, 270.431000, 50.998451 
84 : 316.509003, 331.810822, 49.954956 
85 : 334.623474, 300.117401, 51.655872 
86 : 282.574463, 158.765961, 52.489361 
87 : 278.960785, 345.509796, 52.058823 
88 : 194.329071, 169.060333, 54.705666 
89 : 243.887100, 162.225800, 54.048386 
90 : 351.955444, 226.495056, 54.336632 
91 : 190.871628, 338.299561, 54.943695 
92 : 180.620773, 180.103867, 55.961353 
93 : 336.727264, 181.772720, 54.500000 
94 : 245.144577, 343.771088, 56.228916 
95 : 217.060974, 171.890244, 57.243904 
96 : 147.494629, 291.333344, 57.596775 
97 : 250.000000, 342.000000, 57.000000 
98 : 346.404755, 265.357147, 60.227890 
99 : 324.500000, 315.500000, 58.000000 
100 : 184.399994, 331.942871, 58.328571 
101 : 251.500000, 196.500000, 65.500000 
