0 : 232.855881, 254.826965, 31.693153 
1 : 257.323730, 249.230209, 13.798561 
2 : 243.314285, 272.714294, 13.314285 
3 : 253.016449, 302.694092, 14.245066 
4 : 233.970673, 221.042526, 14.703813 
5 : -nan, -nan, -nan 
6 : -nan, -nan, -nan 
7 : -nan, -nan, -nan 
8 : 225.432770, 250.470581, 14.407563 
9 : 216.751999, 283.600006, 15.128000 
10 : 285.144928, 283.901184, 17.255600 
11 : 268.049225, 218.676437, 16.597889 
12 : 225.584259, 195.056458, 19.147989 
13 : 222.000000, 293.000000, 17.000000 
14 : 294.166962, 224.116516, 19.926956 
15 : 188.612503, 298.200012, 19.200001 
16 : -nan, -nan, -nan 
17 : 183.186142, 267.376251, 18.009901 
18 : 285.750000, 189.916672, 21.750000 
19 : 299.232269, 256.283875, 23.025806 
20 : 231.240967, 322.433746, 20.337349 
21 : 254.465805, 186.390015, 20.905729 
22 : 196.688843, 225.710220, 20.418053 
23 : 303.623840, 294.454132, 24.483946 
24 : -nan, -nan, -nan 
25 : 268.846161, 328.730774, 20.903847 
26 : 178.203568, 253.425003, 20.825001 
27 : -nan, -nan, -nan 
28 : 299.000000, 299.000000, 21.000000 
29 : 196.304871, 194.073166, 24.101625 
30 : -nan, -nan, -nan 
31 : -nan, -nan, -nan 
32 : 311.352936, 212.775085, 27.397924 
33 : 321.600006, 241.440002, 27.959999 
34 : 152.541290, 260.976135, 28.025688 
35 : 170.058487, 304.647156, 27.275473 
36 : 213.814011, 344.062714, 40.504356 
37 : -nan, -nan, -nan 
38 : 241.037430, 172.689835, 27.294117 
39 : 321.594177, 179.986740, 36.705570 
40 : -nan, -nan, -nan 
41 : 156.480682, 278.856232, 28.051502 
42 : 170.595108, 325.772125, 41.030132 
43 : -nan, -nan, -nan 
44 : 253.132355, 349.649506, 33.455883 
45 : 275.391174, 342.082184, 37.138508 
46 : 275.799988, 159.199997, 34.533333 
47 : 208.500000, 170.000000, 30.000000 
48 : 178.770264, 173.974899, 49.774132 
49 : -nan, -nan, -nan 
50 : -nan, -nan, -nan 
51 : -nan, -nan, -nan 
52 : 156.759995, 213.127136, 33.088570 
53 : 145.131317, 235.670029, 36.410774 
54 : 333.466675, 270.833344, 33.516666 
55 : 308.294128, 322.852936, 32.049019 
56 : 349.930237, 246.586044, 42.897675 
57 : 240.095810, 160.556885, 48.350300 
58 : 329.978027, 197.789017, 35.562637 
59 : -nan, -nan, -nan 
60 : -nan, -nan, -nan 
61 : 307.718750, 164.041672, 46.302082 
62 : 137.201920, 285.214752, 38.586540 
63 : 151.359741, 311.010712, 48.158459 
64 : -nan, -nan, -nan 
65 : 161.800949, 184.867294, 47.398106 
66 : 306.830383, 337.500793, 45.334412 
67 : 346.018188, 223.890915, 39.836365 
68 : 137.762344, 264.438263, 44.935184 
69 : 348.289764, 278.551239, 44.968197 
70 : -nan, -nan, -nan 
71 : 337.037170, 187.753372, 44.824326 
72 : -nan, -nan, -nan 
73 : 342.105835, 294.621155, 44.526463 
74 : 346.307678, 203.671799, 46.164104 
75 : 160.116440, 208.346573, 51.083561 
76 : -nan, -nan, -nan 
77 : 151.027176, 232.275818, 53.936142 
78 : 281.062500, 160.687500, 52.062500 
79 : -nan, -nan, -nan 
80 : 336.387085, 303.032257, 52.935482 
81 : 195.362503, 168.817505, 55.240002 
82 : 241.363632, 160.863632, 54.363636 
83 : -nan, -nan, -nan 
84 : -nan, -nan, -nan 
85 : -nan, -nan, -nan 
86 : -nan, -nan, -nan 
87 : -nan, -nan, -nan 
88 : -nan, -nan, -nan 
89 : 324.423065, 315.384613, 58.538460 
90 : -nan, -nan, -nan 
91 : -nan, -nan, -nan 
92 : 250.000000, 195.000000, 64.000000 
93 : -nan, -nan, -nan 
94 : -nan, -nan, -nan 
95 : -nan, -nan, -nan 
96 : -nan, -nan, -nan 
97 : -nan, -nan, -nan 
98 : -nan, -nan, -nan 
99 : -nan, -nan, -nan 
100 : -nan, -nan, -nan 
101 : -nan, -nan, -nan 
102 : -nan, -nan, -nan 
103 : -nan, -nan, -nan 
104 : -nan, -nan, -nan 
105 : -nan, -nan, -nan 
106 : -nan, -nan, -nan 
107 : -nan, -nan, -nan 
